"340Tim DrexlerHoffenheim, 19, D(C)",6.33
"341Ludovic AjorqueMainz, 30, FW",6.32
"342Aïssa LaïdouniUnion Berlin, 28, DMC",6.32
"343Adam HlozekLeverkusen, 22, AM(CLR),FW",6.32
"344Aaron SeydelDarmstadt, 29, AM(L),FW",6.32
"345Linton MainaFC Koln, 25, M(CLR),FW",6.31
"346Sheraldo BeckerUnion Berlin, 30, AM(CLR),FW",6.31
"347Nicolas SeiwaldRBL, 23, D(C),DMC",6.31
"348Benno SchmitzFC Koln, 30, D(CLR)",6.31
"349Tim SierslebenFC Heidenheim, 24, D(C)",6.31
"350Donny van de BeekEintracht Frankfurt, 27, M(C)",6.3
"351Bouna SarrBayern, 33, D(R),M(CLR)",6.3
"352Jannik MüllerDarmstadt, 31, D(CR),DMC",6.3
"353Tim OermannBochum, 21, D(CR)",6.3
"354Christoph KlarerDarmstadt, 24, D(C)",6.3
"355Sebastian PolterDarmstadt, 33, AM(R),FW",6.3
"356Marius WolfBorussia Dortmund, 29, D(R),M(CLR)",6.29
"357Faride AlidouFC Koln, 23, AM(LR)",6.29
"358Nicolas CozzaWolfsburg, 26, D(CL),M(L)",6.29
"359Klaus GjasulaDarmstadt, 35, D(C),DMC",6.29
"360Denis HuseinbasicFC Koln, 23, M(C)",6.29
"361Sacha BoeyBayern, 24, D(R)",6.29
"362Rasmus CarstensenFC Koln, 24, D(R)",6.29
"363Tiago TomásWolfsburg, 22, AM(CLR),FW",6.29
"364Moritz BroschinskiBochum, 24, AM(R),FW",6.29
"365Tom BischofHoffenheim, 19, M(CR)",6.28
"366Hrvoje SmolcicEintracht Frankfurt, 24, D(C)",6.28
"367Erhan MasovicBochum, 26, D(C),DMC",6.28
"368Jérôme RoussillonUnion Berlin, 32, D(L),M(L)",6.28
"369Nicolai RappWerder Bremen, 28, D(C),DMC",6.28
"370Sébastien HallerBorussia Dortmund, 30, FW",6.27
"371Noah MbambaLeverkusen, 20, Midfielder",6.27
"372Alex KrálUnion Berlin, 26, M(C)",6.27
"373Matús BeroBochum, 29, M(CLR),FW",6.27
"374Kristijan JakicEintracht Frankfurt, 27, D(CR),DMC,M(R)",6.26
"375Stefan BellMainz, 33, D(CR)",6.26
"376Marco RichterMainz, 27, M(CLR),FW",6.26
"377Christian GroßWerder Bremen, 36, D(C),DMC",6.26
"378Aljoscha KemleinUnion Berlin, 20, M(C)",6.26
"379Pavao PervanWolfsburg, 37, GK",6.25
"380Nacho FerriEintracht Frankfurt, 20, FW",6.25
"381Nikola DovedanFC Heidenheim, 30, AM(CLR),FW",6.25
"382Philipp FörsterBochum, 30, M(CLR),FW",6.25
"383Kilian FischerWolfsburg, 24, D(R),M(R)",6.25
"384Marnon BuschFC Heidenheim, 30, D(R),M(R)",6.25
"385Nnamdi CollinsEintracht Frankfurt, 21, D(R)",6.24
"386Paul JaeckelUnion Berlin, 26, D(C),DMC",6.23
"387Christopher LenzEintracht Frankfurt, 30, D(L),M(L)",6.23
"388Robert GumnyAugsburg, 26, D(CLR),M(R)",6.23
"389Damion DownsFC Koln, 20, FW",6.23
"390Anwar El GhaziMainz, 29, AM(LR),FW",6.23
"391Eljif ElmasRBL, 25, M(CLR),FW",6.23
"392Lukas DaschnerBochum, 26, AM(C),FW",6.23
"393Mark UthFC Koln, 33, AM(CR),FW",6.22
"394Samuele Di BenedettoStuttgart, 19, Midfielder",6.22
"395Aymen BarkokMainz, 26, M(CR)",6.22
